类型,ID,人物,位置,内容,跳转,效果,目标
#,0,机器人,左,嗨，布莱梅。,1,,
#,1,布莱梅,左,很高兴为您服务，请问要茶或咖啡？,2,,
#,2,机器人,左,你还好吗？,3,,
#,3,布莱梅,左,多谢您的关心，我很好。请问要茶或咖啡？,4,,
#,4,机器人,左,那个，布莱梅，你……想去哪里？,5,,
#,5,布莱梅,左,我就在这里。,6,,
#,6,机器人,左,你想去哪里？,7,,
#,7,布莱梅,左,“你想去哪里”，抱歉，我们这儿没有这款饮料，请问要茶或咖啡？或者，您可以看看吧台上的菜单。,8,,
#,8,机器人,左,不对，我是问，你想去哪里？,9,,
#,9,布莱梅,左,对不起，我没听懂。,10,,
#,10,布莱梅,左,那么，请问要茶还是咖啡？,11,,
#,11,机器人,左,那……就给我点一杯美式吧，选你最喜欢的那支豆。,12,,
#,12,布莱梅,左,最喜欢？我给您推荐几支豆子吧。像是兰都拉斯的这支，酸感比较明显……,13,,
#,13,机器人,左,（果然啊。）,14,,
#,14,机器人,左,（布莱梅旅行计划里的想法，他呓语里的那些感受，已经完全不见了。）,15,,
#,15,机器人,左,（他现在是德尔塔十六代智能仿生人，不是充满理想准备环游世界的那个“人”了。）,16,,
#,16,机器人,左,（如此一来，他的BUG应该就修好了吧？不会再因为听到“你想去哪里”之类的话，产生奇怪的想象篡改主脑预存储的封闭数据，引发程序错误。）,17,,
#,17,机器人,左,（靠，这种莫名其妙的愧疚是怎么回事，总觉得有点不爽）,18,,
#,18,机器人,左,我已经结过账了。,19,,
#,19,布莱梅,左,啊，原来如此，那么请问你的用餐体验还好吗？,20,,
#,20,机器人,左,咖啡挺好喝，就那支罕贝拉的豆子。,21,,
#,21,布莱梅,左,能让你感到愉快那真是太好了。欢迎您下次光临。,22,,
END,22,,,,,,
