类型,ID,人物,位置,内容,跳转,效果,目标
#,0,布莱梅,左,客人您好，请问有什么可以帮到您？,1,,
#,1,机器人,左,（我得找个由头问一下最后一张旅行计划）,2,,
#,2,机器人,左,请问，你有没有拾到……类似纸条的东西？,3,,
#,3,布莱梅,左,没有哦。,4,,
#,4,布莱梅,左,啊，不过，倒是有拾到一个信封。,5,,
#,5,布莱梅,左,不过不知道是不是您的东西。,6,,
#,6,机器人,左,（他从围裙口袋里掏出一个信封递给我）,7,,
#,7,机器人,左,（我拆开信封，里面是一张信纸）,8,,
#,8,机器人,左,果然最后一站是京落啊。这个空白的地方，应该要填“樱花”吧。,9,,
#,9,机器人,左,不过京落的那块地图数据好像已经找到了。,10,,
#,10,机器人,左,这是……他的梦想吗？,11,,
#,11,机器人,左,我猜，我已经知道布莱梅的问题所在了。,12,,
#,12,机器人,左,他的变化应该就是在这个酒店里发生的吧，每天都在接触着世界各地的美食，世界各地的客人，以及从这里离开后，去到世界各处的人。,13,,
#,13,机器人,左,“你想去哪里？”听得多了，有一天就会开始思考这个问题。,14,,
#,14,机器人,左,于是，他想要离开这里了，他会不自觉地跑到酒店大门，也是这个原因吧。毕竟人们都是从那里离开的。,15,,
#,15,机器人,左,当一个设计出来用在服务业的仿生机器人，想要突破底层代码擅离职守，程序就会出BUG，他逐渐生成的自我意识代码破坏了数据库系统，把这里弄得乱七八糟。,16,,
#,16,机器人,左,从这些旅行计划，还有辞职信来看，要不了多久，他的自我意识会完全生成。,17,,
#,17,机器人,左,只要放着不管，他的应激症，还有走神问题，估计都能自我修复了。他会变成一个有自主意识的机器人。,18,,
#,18,机器人,左,他会离开威尔逊大酒店，去世界各地旅行，做他想做的事。,19,,
#,19,机器人,左,我应该放任他这么做吗？,20,,
&,20,机器人,左,我不能放任他这么做！,22,,
&,21,机器人,左,我不该放任他这么做。,27,,
#,22,机器人,左,仿生人成为旅行家的意义是什么？总不可能写成流行的科幻小说吧，别开玩笑了。,23,,
#,23,机器人,左,产生自我意识的仿生人都是潜在恐怖分子。,24,,
#,24,机器人,左,说到底布莱梅阳光善良的底色，不过是仿生人出厂设置的预设代码而已，并没有什么真情可言。,25,,
#,25,机器人,左,这是仿生人天生的伪装，不扼杀他们的自我意识，就等于放任了暴动的潜在危机。,26,,
#,26,机器人,左,决不能让危险有任何萌芽的机会！,31,（进入关卡）,
#,27,机器人,左,布莱梅是个温和善良的机器人，这样的机器人，有着环游世界的梦想。我下不去手。,28,,
#,28,机器人,左,可是现在只是想要旅行。某一天如果开始思考自己的存在，思考人类的存在，觉察人性的丑恶，他就有可能灭绝人类。,29,,
#,29,机器人,左,梦境治疗局就是为了预防这种情况发生，才要通过入梦治疗的方式，对仿生人的自主意识系统作干预处理。,30,,
#,30,机器人,左,掀起一阵龙卷风的，可能只是大洋彼岸的蝴蝶扇动翅膀时，那一下微不足道的颤动。,31,,
#,31,机器人,左,所以，布莱梅，对不起。,32,（进入关卡）,
END,32,,,,,,
