类型,ID,人物,位置,内容,跳转,效果,目标
#,0,男人的幻影,无,<i>安娜，等秋天的工作结束后，我们去度蜜月怎么样？</i>,1,,
#,1,女人的幻影,无,<i>度蜜月吗？</i>,2,,
#,2,男人的幻影,无,<i>嗯嗯！你想去哪里？</i>,3,,
#,3,女人的幻影,无,<i>你觉得去<link=春秋><color=#7af6f3>春秋</color></link>怎么样。</i>,4,（UI：检测到异常信息）,
#,4,男人的幻影,无,<i>春秋之国吗？</i>,5,,
#,5,女人的幻影,无,<i>对啊，听说那里有很多好玩的哦，如果秋天的话，运气好还能赶上当地的团圆节。春秋当地好像有一句古话，好像是叫“千里共婵娟”？意思大概是说，不管相隔多远都能看到一样的月亮。</i>,6,,
#,6,女人的幻影,无,<i>能一起过团圆节，总感觉会是非常幸运的事。</i>,7,,
#,7,机器人,左,他们刚才说的话里面，我应该没有漏掉什么吧？,8,,
#,8,机器人,左,所以这对新人的蜜月之旅的地点是在春秋？,9,,
#,9,机器人,左,我应该是最先知道这个小道消息的几个人了吧，估计连网络上那个什么都扒的观媒还不知道这件事……,10,,
#,10,机器人,左,罢了，现在不是想这个的时候。,11,,
END,11,,,,,,
